grupo,culto,nombre_institucion,domicilio,barrio,cgpc,cp,lat,long
Cristianos,Católico Apostólico Romano ,Santísima Cruz,Gral.  José A. Artigas 2064,Villa Gral. Mitre,11.0,C1416AKX,-34.608127,-58.47687
Cristianos,Católico Apostólico Romano ,Tránsito De La Santísima Virgen,Tte. Gral. Juan D. Peron 3333,Balvanera,3.0,C1198AAK,-34.607451,-58.413296
Cristianos,Católico Apostólico Romano ,Santo Cristo,Avda. Fernández De La Cruz 6820,Villa Riachuelo,8.0,C1439CPU,-34.68987,-58.477731
Cristianos,Católico Apostólico Romano ,Señor Del Milagro,Moldes 1157,Colegiales,13.0,C1426ALK,-34.570322,-58.45165
Cristianos,Católico Apostólico Romano ,Virgen De Luján,Masantonio 2990,Parque Patricios,4.0,C1437HVB,-34.646345,-58.403496
Cristianos,Católico Apostólico Romano ,Tránsito De San José,Avda. Emilio Castro 6391,Liniers,9.0,C1408IGA,-34.650104,-58.511577
Cristianos,Católico Apostólico Romano ,Soledad De María Santísima,Avda. Gral Mosconi 4119,Villa Devoto,11.0,C1419ERH,-34.595594,-58.517453
Cristianos,Católico Apostólico Romano ,Todos Los Santos Y Ánimas,Otero 145,Chacarita,15.0,C1427BMC,-34.593349,-58.451928
Cristianos,Católico Apostólico Romano ,Virgen De Los Desamparados,José E. Rodó 4203,Parque Avellaneda,9.0,C1407HDK,-34.6423,-58.483587
Cristianos,Católico Apostólico Romano ,Nuestra Señora Del Carmen,1601  Isla Martín Garcia,San Telmo,1.0,B1601XAA,,
Cristianos,Católico Apostólico Romano ,Santa Magdalena Sofia Barat,Avda.Salvador M. Del Carril 2458,Agronomia,15.0,C1419GZQ,-34.587662,-58.493169
Cristianos,Católico Apostólico Romano ,Mater Misericordiae,Moreno 1669,Montserrat,1.0,C1093ABE,-34.612491,-58.390002
Cristianos,Católico Apostólico Romano ,Santa María Madre Del Pueblo,"Avda. Perito Moreno  Y   Av. Cruz  (villa  1,11,14)",Flores,7.0,C1406IVA,,
Cristianos,Católico Apostólico Romano ,Divino Rostro,Avda Angel Gallardo Y Campichuelo,Caballito,6.0,1405,-34.605605,-58.439288
Cristianos,Católico Apostólico Romano ,Corpus Christi,Amenabar 450,Crespo,13.0,C1426AJF,-34.574126,-58.443856
Cristianos,Católico Apostólico Romano ,Virgen Inmaculada De Lourdes,Avda. Rivadavia 6280,Flores,7.0,C1406GLS,-34.626135,-58.455108
Cristianos,Católico Apostólico Romano ,Del Salvador,Callao 560,Balvanera,3.0,C1022AAS,-34.602416,-58.392629
Cristianos,Católico Apostólico Romano ,Divino Salvador,Salta 870,Constitucion,1.0,C1074AAR,-34.618155,-58.382955
Cristianos,Católico Apostólico Romano ,Del Nazareno,Avda. Independencia 1166,Constitucion,1.0,C1099AAY,-34.617766,-58.382467
Cristianos,Católico Apostólico Romano ,Corazon Eucaristico De Jesus,Montevideo 1372,Recoleta,2.0,C1018ACD,-34.593507,-58.390094
Cristianos,Católico Apostólico Romano ,Inmaculada Concepcion,Mario Bravo 563,Almagro,5.0,C1175ABI,-34.602688,-58.41653
Cristianos,Católico Apostólico Romano ,Maria Madre Purisima,Caracas 733,Flores,7.0,C1406AZI,-34.621387,-58.464255
Cristianos,Católico Apostólico Romano ,Madre Reina Admirable De Schoenstatt,Echeverria 3632,Belgrano,13.0,C1430BTH,-34.570337,-58.468143
